domain,parameter,code_config_field,cohort,setting_or_sampling_distribution,sampling_level,source_or_rationale,varied_in_sensitivity_analysis,realized_validation_target,run_version_commit
Menstrual,ILP rule,ilp_progesterone_threshold_ng_ml,Population,Maximum P4 on O+5 to O+9 < 5.0 ng/mL; nonovulatory/missing cycles flagged,Cycle,Investigator operationalization; threshold requires biological citation,No,Audit ILP fraction,code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
Menstrual,PCOS,population_factor_rates.pcos,Population,0.1,Participant,Investigator-configured stress-test rate,No,Participant prevalence,code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
Menstrual,Peri-menarche,population_factor_rates.peri_menarche_if_age_lt_20,Population,0.6,Participant conditional on age <20,Investigator-configured stress-test rate,No,Participant prevalence,code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
Menstrual,Perimenopause,population_factor_rates.perimenopause_if_age_gte_45,Population,0.55,Participant conditional on age ≥45,Investigator-configured stress-test rate,No,Participant prevalence,code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
Menstrual,Dysmenorrhea,population_factor_rates.dysmenorrhea,Population,0.12,Participant,Investigator-configured stress-test rate,No,Not retained in participant summary,code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
Menstrual,Contraception/IUD settings,hormone_cycler MedicalFactors,Both,Available but not sampled in completed run,Participant,Simulator literature registry,No,Not applicable to completed run,code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
Computational,Compact hormone rendering,render_cycle_compact; audit_daily_fraction,Non-audit participants,"Consumes the same cycle RNG draws as the full renderer and retains identical cycle structure, ovulation, midluteal progesterone, and ILP status while omitting unused daily concentration objects; full curves retained for validation and the 1% audit sample",Participant/cycle,Result-preserving implementation optimization with automated full-versus-compact equivalence tests,No,Structural and ILP equivalence; full hormone values in retained audit rows,code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
Observation,Diary duration and start,analysis_modes.full.diary_months; hormone_cycle_start_mode,Both,36 months; diary day 1 sampled uniformly within the first generated menstrual cycle,Participant,Study design,Across analyzed windows,36 months with randomized starting phase,code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
Observation,Missingness,None,Both,No diary missingness simulated,Day,Study-design simplification,No,Complete synthetic diaries,code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
Null construction,Independent generators,"stable_seed(..., 'seizure'/'hormone'); domain-separated profile/cycle/start streams",Both,"Separately seeded generators; HORMONE-CYCLE uses SHA-256-separated profile, cycle, and observation-start streams, starts at a uniformly sampled first-cycle day, and aligns directly without wrapping",Participant,Study design,No,Direct alignment and randomized menstrual starting phase preserved without changing latent profile/cycle draws,code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
Null construction,Master seed,master_seed,Both,20260505,Run,Reproducibility control,No,Manifested,code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
Null construction,Phase modes,phase_modes,Both,"strict_herzog, luteal_anchored_ovulatory",Analysis,Herzog criteria plus sensitivity,Yes,Both modes retained,code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
Null construction,Cohort sizes,analysis_modes.full.cohort_sizes,Cohort-specific,"{'healthy_ovulatory': 50000, 'population': 50000}",Run,Monte Carlo design,No,"100,000 total",code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
